,1st TIER PARTNER,1st TIER PARTNER CODE
0,DAI Europe,39473.0
31,ICIMOD,46348.0
39,Mott MacDonald,14405.0
70,OPML,15181.0
82,IOD PARC,13528.0
91,IMC Worldwide,39453.0
99,Palladium International Ltd (UK),12847.0
109,PwC India,15396.0
110,World Bank,35949.0
111,The Asia Foundation,38159.0
115,UNFPA,31818.0
116,World Food Programme (WFP),30544.0
117,Abt Associates,39600.0
118,Marie Stopes International (MSI),39609.0
370,International Alert,38485.0
415,United Nations Office for Project Services (UNOPS),52675.0
434,Voluntary Service Overseas (VSO),17268.0
472,Options Consultancy Services,15211.0
482,Pact,39805.0
504,Catholic Relief Services,39474.0
913,CARE NEPAL,34805.0
929,UNDP,36382.0
935,UNICEF,16764.0
938,People in Need (PIN),43497.0
1013,Practical Action,15726.0
1017,ActionAid International,43270.0
1021,International Labour Organization (ILO),42394.0
1029,Louis Berger,44853.0
1039,The Gurkha Welfare Trust (GWT) Nepal,34806.0
1110,British Red Cross,10578.0
1118,Crown Agents Limited,11085.0
1135,ICF international Consulting Service Ltd.,12958.0
1138,Mercy Corps Europe,14809.0
1151,Save the Children,200271.0
1157,United Nations Resident Coordination Office (UNRCO),
1209,Accelerator Nepal,67283.0
